구,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),노선명,역명,승차총승객수,하차총승객수
강남,2019-10-22,17.4,0,0.7,2호선,강남,105510,106831
강남,2019-10-23,17.1,0,0.7,2호선,강남,105977,107055
강남,2019-10-24,19.2,0,0.9,2호선,강남,108078,109731
강남,2019-10-25,17.5,0,1.3,2호선,강남,119315,124950
강남,2019-10-26,10.9,0,1.6,2호선,강남,95824,101927
강남,2019-10-27,11.2,0,1,2호선,강남,61664,60165
강남,2019-10-28,13.5,2.5,1.6,2호선,강남,107451,108038
강남,2019-10-29,13.5,0.5,1.4,2호선,강남,110340,112374
강남,2019-10-30,11.2,0,0.9,2호선,강남,108857,110457
강남,2019-10-31,15.2,0,1.3,2호선,강남,108061,110902
강남,2019-11-01,14.4,0,0.6,2호선,강남,113878,119625
강남,2019-11-02,14,0,0.7,2호선,강남,87138,93527
강남,2019-11-03,15,0,0.8,2호선,강남,55012,54284
강남,2019-11-04,13,0,0.5,2호선,강남,104892,106831
강남,2019-11-05,12.2,0,0.9,2호선,강남,106763,108023
강남,2019-11-06,11.3,0,0.8,2호선,강남,107708,108517
강남,2019-11-07,10.3,0,1.5,2호선,강남,110203,111704
강남,2019-11-08,7.3,0,0.9,2호선,강남,118645,124335
강남,2019-11-09,9.3,0,0.7,2호선,강남,89865,96178
강남,2019-11-10,10.4,12.5,1.3,2호선,강남,54402,52767
강남,2019-11-11,11.9,0.5,1.5,2호선,강남,104204,106239
강남,2019-11-12,9.6,0,0.5,2호선,강남,107776,108548
강남,2019-11-13,8.2,8,1.5,2호선,강남,106411,107022
강남,2019-11-14,2.4,0,1.9,2호선,강남,108984,110709
강남,2019-11-15,6.2,24,1.1,2호선,강남,116595,121528
강남,2019-11-16,6.7,0,0.5,2호선,강남,89946,96594
강남,2019-11-17,8.6,37,0.7,2호선,강남,52344,51306
강남,2019-11-18,5.9,17,2.5,2호선,강남,105775,107412
강남,2019-11-19,2.1,0,1.9,2호선,강남,108358,109071
강남,2019-11-20,1.7,0,1,2호선,강남,108174,109136
강남,2019-11-21,4.6,0,0.6,2호선,강남,109687,111295
강남,2019-11-22,8.7,0,0.6,2호선,강남,117887,124579
강남,2019-11-23,11.1,0,0.6,2호선,강남,88489,96090
강남,2019-11-24,10.2,2.5,1.1,2호선,강남,53606,53317
강남,2019-11-25,3.3,0,1.3,2호선,강남,103925,105281
강남,2019-11-26,7.4,0,0.9,2호선,강남,108096,109069
강남,2019-11-27,4.8,0,1.5,2호선,강남,109607,110704
강남,2019-11-28,5.4,0,1.2,2호선,강남,110646,111833
강남,2019-11-29,3,0,1,2호선,강남,119493,125949
강남,2019-11-30,5,0,0.8,2호선,강남,88519,95952
강남,2019-12-01,5.5,4,0.7,2호선,강남,51432,50641
강남,2019-12-02,1.6,0,2.3,2호선,강남,104761,106181
강남,2019-12-03,1.1,0.5,0.9,2호선,강남,108049,107835
강남,2019-12-04,3.3,0.5,1.1,2호선,강남,107628,109175
강남,2019-12-05,-2.6,0,2.1,2호선,강남,111432,113032
강남,2019-12-06,-4.1,0,1.1,2호선,강남,118557,125483
강남,2019-12-07,-1.6,0,0.8,2호선,강남,89934,97653
강남,2019-12-08,-0.5,0,0.7,2호선,강남,52378,51419
강남,2019-12-09,4.1,0,1.4,2호선,강남,104260,105620
강남,2019-12-10,7.7,1.5,0.7,2호선,강남,108064,109291
강남,2019-12-11,7.1,0.5,2.3,2호선,강남,111451,112687
강남,2019-12-12,0.4,0,1.7,2호선,강남,115690,116849
강남,2019-12-13,3.1,0.5,1.3,2호선,강남,124110,131218
강남,2019-12-14,4,0.5,1.4,2호선,강남,97699,105584
강남,2019-12-15,4.5,0,0.6,2호선,강남,56005,55098
강남,2019-12-16,8.4,0,0.7,2호선,강남,109294,110808
강남,2019-12-17,8.7,9,1.5,2호선,강남,112548,114861
강남,2019-12-18,2.5,0,1.5,2호선,강남,116952,118592
강남,2019-12-19,0.9,0,1.5,2호선,강남,120896,123052
강남,2019-12-20,0.3,0,1.5,2호선,강남,130261,139424
강남,2019-12-21,-0.4,0,0.9,2호선,강남,100988,110172
강남,2019-12-22,4.4,0.5,0.8,2호선,강남,61265,61034
강남,2019-12-23,4.2,2,1,2호선,강남,120997,123864
강남,2019-12-24,1.4,0,0.6,2호선,강남,117331,125055
강남,2019-12-25,2.3,0,0.7,2호선,강남,58419,59668
강남,2019-12-26,3,1,1.5,2호선,강남,118955,120741
강남,2019-12-27,-0.5,0,1.5,2호선,강남,123600,132547
강남,2019-12-28,1.6,0,1.1,2호선,강남,92142,99422
강남,2019-12-29,4.1,0.5,1,2호선,강남,59593,58440
강남,2019-12-30,3.7,0.5,1.6,2호선,강남,117677,119621
강남,2019-12-31,-6.3,0,2.3,2호선,강남,102276,108497
강남,2020-01-01,-1.7,0,0.9,2호선,강남,39231,36768
강남,2020-01-02,2.3,0,1,2호선,강남,115263,116820
강남,2020-01-03,0.9,0,1.1,2호선,강남,126036,132511
강남,2020-01-04,2.1,0,1.1,2호선,강남,87333,93257
강남,2020-01-05,1.1,0,0.5,2호선,강남,52620,51683
강남,2020-01-06,3.3,1,0.8,2호선,강남,117522,118454
강남,2020-01-07,6.2,53.5,0.7,2호선,강남,115832,116538
강남,2020-01-08,3.7,5,2.5,2호선,강남,120178,120962
강남,2020-01-09,0.4,0,1.6,2호선,강남,122108,122689
강남,2020-01-10,0.8,0,0.9,2호선,강남,127610,134985
강남,2020-01-11,0.9,0,1.1,2호선,강남,94848,101571
강남,2020-01-12,0.4,0,1.6,2호선,강남,55787,54371
강남,2020-01-13,-1.2,0,1.8,2호선,강남,118073,118909
강남,2020-01-14,-1,0,1.1,2호선,강남,120976,121733
강남,2020-01-15,-1.2,0,1.2,2호선,강남,122025,122875
강남,2020-01-16,-0.5,0,1,2호선,강남,123030,124343
강남,2020-01-17,0,0,1,2호선,강남,129997,136864
강남,2020-01-18,0.7,0,1,2호선,강남,93172,99551
강남,2020-01-19,2.7,0.5,1.4,2호선,강남,54820,53801
강남,2020-01-20,2.2,0,2,2호선,강남,119614,120537
강남,2020-01-21,0.6,0,0.9,2호선,강남,121647,122832
강남,2020-01-22,3.1,0,0.8,2호선,강남,120553,121856
강남,2020-01-23,5.1,0,1.1,2호선,강남,111812,115448
강남,2020-01-24,3.5,0,0.8,2호선,강남,33186,33251
강남,2020-01-25,4.7,0,0.6,2호선,강남,18365,20003
강남,2020-01-26,5.9,0,1.1,2호선,강남,31769,35387
강남,2020-01-27,6.5,0.5,1.7,2호선,강남,42470,42586
강남,2020-01-28,7.5,0,1.1,2호선,강남,99953,101282
강남,2020-01-29,6.3,0,0.8,2호선,강남,106844,107871
강남,2020-01-30,5.8,0,0.9,2호선,강남,106050,108133
강남,2020-01-31,4.4,0,1.2,2호선,강남,108233,112821
강남,2020-02-01,3.2,0,1.1,2호선,강남,65598,69156
강남,2020-02-02,2.7,0,1.1,2호선,강남,37382,36531
강남,2020-02-03,1,0,2.3,2호선,강남,100352,101584
강남,2020-02-04,-0.2,0.5,1.8,2호선,강남,103200,103228
강남,2020-02-05,-6.7,0,2.4,2호선,강남,102545,103379
강남,2020-02-06,-4.8,0,1.3,2호선,강남,101782,102485
강남,2020-02-07,-0.1,0,1.3,2호선,강남,106007,110312
강남,2020-02-08,1.2,0,2.2,2호선,강남,66548,69937
강남,2020-02-09,0.3,0,1.2,2호선,강남,40663,39982
강남,2020-02-10,4.1,0,1,2호선,강남,103591,104910
강남,2020-02-11,6.6,0,0.8,2호선,강남,106091,107900
강남,2020-02-12,7.5,7.5,0.6,2호선,강남,104164,104777
강남,2020-02-13,7.4,0,1.3,2호선,강남,108592,109881
강남,2020-02-14,7.8,0,0.6,2호선,강남,113614,119315
강남,2020-02-15,9.6,2,1.1,2호선,강남,75772,80458
강남,2020-02-16,-0.2,14,2.6,2호선,강남,43892,43610
강남,2020-02-17,-4.8,0.5,2.4,2호선,강남,106675,109029
강남,2020-02-18,-2.4,0,1.8,2호선,강남,109332,110513
강남,2020-02-19,1.5,0,0.8,2호선,강남,109058,110042
강남,2020-02-20,5.2,0,0.8,2호선,강남,107019,108655
강남,2020-02-21,7.4,3,1.1,2호선,강남,105267,109084
강남,2020-02-22,5.3,2.5,3.1,2호선,강남,60264,63003
